Name/lfdNr;Name2;Langname;Gelenk 1;;;;;;;;;;;;;Gelenk 2;;;;;;;;;;;;;Gelenk 3;;;;;;;;;;;;;Gelenk 4;;;;;;;;;;;;;Gelenk 5;;;;;;;;;;;;;Gelenk 6;;;;;;;;;;;;;Allgemein;
;;;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Nenn-Traglast;Masse
S6RRRRRR10V2;;;R;0;0;0;0;q1;d1;0;;;;;;R;0;0;pi/2;a2;q2;0;0;;;;;;R;0;0;0;a3;q3;0;0;;;;;;R;0;0;pi/2;a4;q4;d4;0;;;;;;R;0;0;pi/2;0;q5;0;0;;;;;;R;0;0;pi/2;0;q6;d6;0;;;;;;;
S6RRRRRR10V2_KUKA1;KUKA;KR 30-3;R;0;0;0;0;q1;815;0;-185;185;140;-1;0;R;0;0;90;350;q2;0;0;-35;135;140;1;90;R;0;0;0;850;q3;0;0;-210;68;140;1;0;R;0;0;90;145;q4;820;0;-350;350;260;1;0;R;0;0;90;0;q5;0;0;-119;119;245;1;0;R;0;0;90;0;q6;-170;0;-350;350;322;1;0;30;635
S6RRRRRR10V2_KUKA2;KUKA;KR 30-3 (C, F, CF, HA, HA-C);R;0;0;0;0;q1;815;0;-185;185;140;-1;0;R;0;0;90;350;q2;0;0;-35;135;126;1;90;R;0;0;0;850;q3;0;0;-210;68;140;1;0;R;0;0;90;145;q4;820;0;-350;350;260;1;0;R;0;0;90;0;q5;0;0;-119;119;245;1;0;R;0;0;90;0;q6;-170;0;-350;350;322;1;0;30;635
S6RRRRRR10V2_KUKA3;KUKA;KR 60-3 ;R;0;0;0;0;q1;815;0;-185;185;128;-1;0;R;0;0;90;350;q2;0;0;-35;135;102;1;90;R;0;0;0;850;q3;0;0;-210;68;128;1;0;R;0;0;90;145;q4;820;0;-350;350;260;1;0;R;0;0;90;0;q5;0;0;-119;119;245;1;0;R;0;0;90;0;q6;-170;0;-350;350;322;1;0;60;665
S6RRRRRR10V2_KUKA4;KUKA;KR 30 L16-2;R;0;0;0;0;q1;815;0;-185;185;140;-1;0;R;0;0;90;350;q2;0;0;-35;135;137;1;90;R;0;0;0;1200;q3;0;0;-210;68;166;1;0;R;0;0;90;145;q4;1545;0;-350;350;260;1;0;R;0;0;90;0;q5;0;0;-130;130;245;1;0;R;0;0;90;0;q6;-158;0;-350;350;322;1;0;16;700
S6RRRRRR10V2_KUKA5;KUKA;KR 60 L16-2;R;0;0;0;0;q1;250;0;-150;150;103;-1;0;R;0;0;90;550;q2;0;0;-75;115;88;1;90;R;0;0;0;850;q3;0;0;-210;68;81;1;0;R;0;0;90;145;q4;1545;0;-350;350;230;1;0;R;0;0;90;0;q5;0;0;-130;130;164;1;0;R;0;0;90;0;q6;-158;0;-350;350;249;1;0;16;650
S6RRRRRR10V2_KUKA6;KUKA;KR 60 L45-3;R;0;0;0;0;q1;815;0;-185;185;128;-1;0;R;0;0;90;350;q2;0;0;-35;135;102;1;90;R;0;0;0;850;q3;0;0;-210;68;128;1;0;R;0;0;90;145;q4;1020;0;-350;350;260;1;0;R;0;0;90;0;q5;0;0;-119;119;245;1;0;R;0;0;90;0;q6;-170;0;-350;350;322;1;0;45;671
S6RRRRRR10V2_KUKA7;KUKA;KR 60 L30-3;R;0;0;0;0;q1;815;0;-185;185;128;-1;0;R;0;0;90;350;q2;0;0;-35;135;102;1;90;R;0;0;0;850;q3;0;0;-210;68;128;1;0;R;0;0;90;145;q4;1220;0;-350;350;260;1;0;R;0;0;90;0;q5;0;0;-119;119;245;1;0;R;0;0;90;0;q6;-170;0;-350;350;322;1;0;30;679
S6RRRRRR10V2_KUKA8;KUKA;KR 30-4 KS;R;0;0;0;0;q1;250;0;-150;150;140;-1;0;R;0;0;90;550;q2;0;0;-75;105;137;1;90;R;0;0;0;850;q3;0;0;-210;68;166;1;0;R;0;0;90;145;q4;820;0;-350;350;260;1;0;R;0;0;90;0;q5;0;0;-119;119;245;1;0;R;0;0;90;0;q6;-170;0;-350;350;322;1;0;30;600
S6RRRRRR10V2_KUKA9;KUKA;KR 60-4 KS;R;0;0;0;0;q1;250;0;-150;150;138;-1;0;R;0;0;90;550;q2;0;0;-75;105;130;1;90;R;0;0;0;850;q3;0;0;-210;68;166;1;0;R;0;0;90;145;q4;820;0;-350;350;260;1;0;R;0;0;90;0;q5;0;0;-119;119;245;1;0;R;0;0;90;0;q6;-170;0;-350;350;322;1;0;60;600
